ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT00BUWOG001","BWO","BUWOG AG","Common stock","EUR",2504156,2017-08-22,15:00,25.015,25.015,25.015,25.015,20,1
"CA3809564097","GO5","GOLDCORP INC.","Common stock","EUR",2504198,2017-08-22,15:00,11.01,11.01,11,11.01,1500,3
"CH0038389992","BBZA","BB BIOTECH NAM.   SF 0,20","Common stock","EUR",2504244,2017-08-22,15:00,51.88,51.88,51.88,51.88,444,4
"CH0038863350","NESR","NESTLE NAM.        SF-,10","Common stock","EUR",2504245,2017-08-22,15:00,71.88,71.88,71.88,71.88,400,1
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF","ETF","EUR",2504265,2017-08-22,15:00,106.42,106.42,106.42,106.42,424,1
"LU0274211480","DBXD","DB X-TRACK.DAX ETF(DR)1C","ETF","EUR",2504269,2017-08-22,15:00,119.1,119.1,119.1,119.1,125,1
"LU0378438732","C001","COMSTAGE-DAX UCITS ETF I","ETF","EUR",2504271,2017-08-22,15:00,119.76,119.76,119.76,119.76,20,1
"DE000A0B65S3","PA8","PAION O.N","Common stock","EUR",2504283,2017-08-22,15:00,2.806,2.806,2.806,2.806,217,1
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG","Common stock","EUR",2504287,2017-08-22,15:00,34.885,34.985,34.885,34.895,1371,19
"DE000A0DNAY5","ACX","BET-AT-HOME.COM AG O.N.","Common stock","EUR",2504288,2017-08-22,15:00,103.55,103.55,103.55,103.55,10,2
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-08-22,15:00,11.885,11.89,11.885,11.89,4117,6
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2017-08-22,15:00,120.45,120.45,120.45,120.45,133,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH","Common stock","EUR",2504314,2017-08-22,15:00,35.055,35.07,35.055,35.07,1227,7
"DE000A0JL9W6","VBK","VERBIO VER.BIOENERGIE  ON","Common stock","EUR",2504343,2017-08-22,15:00,10.845,10.85,10.845,10.85,460,3
"DE000A0KEXC7","V3S","VECTRON SYSTEMS      O.N.","Common stock","EUR",2504348,2017-08-22,15:00,23.33,23.33,23.33,23.33,17,2
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2017-08-22,15:00,12.415,12.42,12.415,12.42,1057,5
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.","Common stock","EUR",2504401,2017-08-22,15:00,8.878,8.878,8.878,8.878,636,2
"DE000A0S8488","HHFA","HAMBURG.HAFEN U.LOG.A-SP","Common stock","EUR",2504409,2017-08-22,15:00,26.39,26.39,26.39,26.39,121,2
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-08-22,15:00,7.451,7.455,7.451,7.455,2660,4
"DE000A0XYGA7","TTR1","TECHNOTRANS AG NA O.N.","Common stock","EUR",2504432,2017-08-22,15:00,46.24,46.38,46.225,46.38,521,9
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2017-08-22,15:00,15,15,15,15,200,2
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-08-22,15:00,28.085,28.085,28.07,28.07,685,7
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2017-08-22,15:00,45.965,45.99,45.965,45.99,670,4
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-08-22,15:00,189.9,189.95,189.9,189.95,793,16
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG AG","Common stock","EUR",2504492,2017-08-22,15:00,4.505,4.505,4.505,4.505,467,1
"DE000A1K0235","SMHN","SUESS MICROTEC SE NA O.N.","Common stock","EUR",2504495,2017-08-22,15:00,14.08,14.1,14.08,14.08,2511,14
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-08-22,15:00,35.465,35.465,35.46,35.46,87,2
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.","Common stock","EUR",2504512,2017-08-22,15:00,70.7,70.7,70.7,70.7,352,6
"DE000A1TNUT7","DBAN","DT.BETEILIG.AG   NA O.N.","Common stock","EUR",2504519,2017-08-22,15:00,42.08,42.08,42.08,42.08,17,2
"DE000A1TNV91","ADE","BITCOIN GROUP SE  O.N.","Common stock","EUR",2504520,2017-08-22,15:00,22.05,22.15,22.05,22.05,1000,3
"DE000A11QW50","ECX","EPIGENOMICS AG NA O.N.","Common stock","EUR",2504547,2017-08-22,15:00,4.123,4.126,4.123,4.126,187,2
"DE000A12UKK6","RKET","ROCKET INTERNET SE","Common stock","EUR",2504560,2017-08-22,15:00,18.795,18.795,18.795,18.795,211,1
"DE000A14ZT85","USPY","ETFS ISE CYBER SEC.GO DZ","ETF","EUR",2504597,2017-08-22,15:00,9.08,9.08,9.08,9.08,508,1
"DE000A161N30","GLJ","GRENKE AG NA O.N.","Common stock","EUR",2504606,2017-08-22,15:00,76.24,76.24,76.24,76.24,12,1
